person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income_ratio,loan_to_income_ratio,income_band,age_group,employment_stability,credit_history_category,flag_prior_default,flag_high_loan_burden,flag_low_income_high_grade_risk,flag_renter,default_probability,credit_risk_score,risk_tier,loan_decision,decision_reasons
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.3097,N,4,0.0565,0.3097,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.7787450295716165,433,Very High,Reject,Very High risk tier (PD=77.9%) — default probability too high for approval under current risk appetite.
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.162,N,2,0.0178,0.162,<25k,18-25,Stable(7y+),New(<=2y),0,0,0,0,0.3341970596364908,699,Low,Approve,Low risk tier (PD=33.4%) — acceptable risk under standard policy.
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.2154,N,4,0.0161,0.2154,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.0215068531126374,887,Very Low,Approve,Very Low risk tier (PD=2.2%) — strong repayment profile.
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.254,Y,2,0.0426,0.254,100k+,18-25,Stable(7y+),New(<=2y),1,0,0,1,0.6119747118286964,533,High,Manual Review,High risk tier (PD=61.2%) — requires underwriter judgement and possibly additional collateral/guarantor. | Note: applicant also has a prior bureau default on file.
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.5231,N,4,0.092,0.5231,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.9488751002193926,331,Very High,Reject,Very High risk tier (PD=94.9%) — default probability too high for approval under current risk appetite.
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.1366,N,3,0.01,0.1366,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.0414797875175197,875,Very Low,Approve,Very Low risk tier (PD=4.1%) — strong repayment profile.
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.4244,Y,4,0.0617,0.4244,75-100k,18-25,Early(1-3y),Building(2-5y),1,1,0,1,0.8954630166247898,363,Very High,Reject,Very High risk tier (PD=89.5%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.4871,N,3,0.0618,0.4871,50-75k,18-25,Stable(7y+),Building(2-5y),0,1,0,1,0.8775347411671142,373,Very High,Reject,Very High risk tier (PD=87.8%) — default probability too high for approval under current risk appetite.
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.4159,Y,3,0.0738,0.4159,<25k,18-25,Early(1-3y),Building(2-5y),1,1,1,0,0.9906621684409248,306,Very High,Reject,Very High risk tier (PD=99.1%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.1273,N,3,0.0119,0.1273,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.0482598044101675,871,Very Low,Approve,Very Low risk tier (PD=4.8%) — strong repayment profile.
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.05,0.5,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.8957109487462304,363,Very High,Reject,Very High risk tier (PD=89.6%) — default probability too high for approval under current risk appetite.
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.3512,Y,2,0.0451,0.3512,<25k,18-25,Established(3-7y),New(<=2y),1,0,0,0,0.8831006719435103,370,Very High,Reject,Very High risk tier (PD=88.3%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.1736,N,3,0.0193,0.1736,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.141034601340418,815,Very Low,Approve,Very Low risk tier (PD=14.1%) — strong repayment profile.
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.2667,N,2,0.0177,0.2667,100k+,18-25,Early(1-3y),New(<=2y),0,0,0,1,0.0567663418822816,866,Very Low,Approve,Very Low risk tier (PD=5.7%) — strong repayment profile.
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.3268,Y,3,0.0463,0.3268,75-100k,26-35,Established(3-7y),Building(2-5y),1,0,0,1,0.5218657380812521,587,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.0792,N,3,0.011,0.0792,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.1044092918768551,837,Very Low,Approve,Very Low risk tier (PD=10.4%) — strong repayment profile.
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.026,N,4,0.0035,0.026,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0,0.1425715690070989,814,Very Low,Approve,Very Low risk tier (PD=14.3%) — strong repayment profile.
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.2083,N,4,0.0156,0.2083,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.0873645518794305,848,Very Low,Approve,Very Low risk tier (PD=8.7%) — strong repayment profile.
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.625,N,2,0.1149,0.625,25-50k,18-25,Unstable(<1y),New(<=2y),0,1,0,1,0.990295629471694,306,Very High,Reject,Very High risk tier (PD=99.0%) — default probability too high for approval under current risk appetite.
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.4688,Y,3,0.0682,0.4688,50-75k,18-25,Stable(7y+),Building(2-5y),1,1,0,1,0.972409119927794,317,Very High,Reject,Very High risk tier (PD=97.2%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.0676,0.4,50-75k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.9481080970033992,331,Very High,Reject,Very High risk tier (PD=94.8%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.4196,N,4,0.0642,0.4196,50-75k,18-25,Early(1-3y),Building(2-5y),0,1,0,1,0.9534597850479716,328,Very High,Reject,Very High risk tier (PD=95.3%) — default probability too high for approval under current risk appetite.
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.4835,N,2,0.087,0.4835,50-75k,26-35,Established(3-7y),New(<=2y),0,1,0,1,0.9768729022171416,314,Very High,Reject,Very High risk tier (PD=97.7%) — default probability too high for approval under current risk appetite.
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.2083,N,3,0.0264,0.2083,<25k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.108814060397633,835,Very Low,Approve,Very Low risk tier (PD=10.9%) — strong repayment profile.
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.0667,N,4,0.0053,0.0667,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0,0.0085545464639783,895,Very Low,Approve,Very Low risk tier (PD=0.9%) — strong repayment profile.
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.0808,Y,2,0.0157,0.0808,100k+,18-25,Unstable(<1y),New(<=2y),1,0,0,0,0.1349864625205929,819,Very Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.0333,N,4,0.0035,0.0333,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0,0.0187609728380504,889,Very Low,Approve,Very Low risk tier (PD=1.9%) — strong repayment profile.
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.0833,N,3,0.0128,0.0833,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,0,0.1920191210309547,785,Very Low,Approve,Very Low risk tier (PD=19.2%) — strong repayment profile.
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.0099,0.06,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,0,0.6409462679686261,515,High,Manual Review,High risk tier (PD=64.1%) — requires underwriter judgement and possibly additional collateral/guarantor.
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.3718,N,3,0.0278,0.3718,75-100k,26-35,Stable(7y+),Building(2-5y),0,0,0,1,0.4109069331616166,653,Moderate,Approve with Conditions,Moderate risk tier (PD=41.1%) — approve with adjusted terms (higher rate and/or lower approved amount).
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.4525,N,3,0.0574,0.4525,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.7788380836843484,433,Very High,Reject,Very High risk tier (PD=77.9%) — default probability too high for approval under current risk appetite.
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.337,N,3,0.0223,0.337,75-100k,26-35,Unstable(<1y),Building(2-5y),0,0,0,1,0.3854862153707705,669,Moderate,Approve with Conditions,Moderate risk tier (PD=38.5%) — approve with adjusted terms (higher rate and/or lower approved amount).
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.3846,Y,4,0.0589,0.3846,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.920706229019508,348,Very High,Reject,Very High risk tier (PD=92.1%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.3846,Y,3,0.0716,0.3846,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.9581249830403514,325,Very High,Reject,Very High risk tier (PD=95.8%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.3261,Y,3,0.0497,0.3261,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.3808215449604137,672,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.3093,N,2,0.0329,0.3093,75-100k,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.1655383492728498,801,Very Low,Approve,Very Low risk tier (PD=16.6%) — strong repayment profile.
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.0198,0.25,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.0866197779967557,848,Very Low,Approve,Very Low risk tier (PD=8.7%) — strong repayment profile.
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.0357,Y,3,0.0057,0.0357,100k+,26-35,Established(3-7y),Building(2-5y),1,0,0,1,0.2388739300139662,757,Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.0722,N,3,0.0083,0.0722,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,1,0.0329594137082234,880,Very Low,Approve,Very Low risk tier (PD=3.3%) — strong repayment profile.
23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.1264,N,4,0.0095,0.1264,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,0,0.0010973183054457,899,Very Low,Approve,Very Low risk tier (PD=0.1%) — strong repayment profile.
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.2344,N,4,0.0171,0.2344,100k+,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.0827439515718799,850,Very Low,Approve,Very Low risk tier (PD=8.3%) — strong repayment profile.
24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.1458,Y,3,0.0245,0.1458,<25k,18-25,Early(1-3y),Building(2-5y),1,0,1,0,0.5570371343245692,566,High,Manual Review,High risk tier (PD=55.7%) — requires underwriter judgement and possibly additional collateral/guarantor. | Note: applicant also has a prior bureau default on file.
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.229,N,4,0.0137,0.229,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.039050261456128,877,Very Low,Approve,Very Low risk tier (PD=3.9%) — strong repayment profile.
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.0436,N,2,0.0051,0.0436,100k+,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.0055970641916704,897,Very Low,Approve,Very Low risk tier (PD=0.6%) — strong repayment profile.
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.038,N,4,0.0042,0.038,100k+,26-35,Unstable(<1y),Building(2-5y),0,0,0,0,0.0454524998904386,873,Very Low,Approve,Very Low risk tier (PD=4.5%) — strong repayment profile.
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1127,N,2,0.0177,0.1127,100k+,18-25,Stable(7y+),New(<=2y),0,0,0,0,0.3465727531515074,692,Low,Approve,Low risk tier (PD=34.7%) — acceptable risk under standard policy.
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.4157,N,3,0.0665,0.4157,50-75k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.9164524796852738,350,Very High,Reject,Very High risk tier (PD=91.6%) — default probability too high for approval under current risk appetite.
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.125,Y,3,0.0186,0.125,<25k,18-25,Established(3-7y),Building(2-5y),1,0,1,0,0.828764872093805,403,Very High,Reject,Very High risk tier (PD=82.9%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.1077,N,3,0.0118,0.1077,100k+,26-35,Stable(7y+),Building(2-5y),0,0,0,0,0.0070511815989601,896,Very Low,Approve,Very Low risk tier (PD=0.7%) — strong repayment profile.
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.0772,Y,2,0.0111,0.0772,100k+,18-25,Stable(7y+),New(<=2y),1,0,0,0,0.4559258981717913,626,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.0376,N,2,0.0026,0.0376,100k+,18-25,Stable(7y+),New(<=2y),0,0,0,0,0.0212478882642325,887,Very Low,Approve,Very Low risk tier (PD=2.1%) — strong repayment profile.
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.0135,0.1,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.0909429187322655,845,Very Low,Approve,Very Low risk tier (PD=9.1%) — strong repayment profile.
25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3,0.0337,0.25,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.3581875938958976,685,Low,Approve,Low risk tier (PD=35.8%) — acceptable risk under standard policy.
22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.4917,N,2,0.0368,0.4917,50-75k,18-25,Established(3-7y),New(<=2y),0,1,0,1,0.8878633846028937,367,Very High,Reject,Very High risk tier (PD=88.8%) — default probability too high for approval under current risk appetite.
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.034,0.25,<25k,18-25,Established(3-7y),Building(2-5y),1,0,0,0,0.2565886845459517,746,Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.4308,N,2,0.034,0.4308,50-75k,18-25,Early(1-3y),New(<=2y),0,1,0,1,0.6594542859317047,504,High,Manual Review,High risk tier (PD=65.9%) — requires underwriter judgement and possibly additional collateral/guarantor.
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.3294,N,3,0.0247,0.3294,75-100k,26-35,Early(1-3y),Building(2-5y),0,0,0,1,0.2012692856473155,779,Low,Approve with Conditions,Low risk tier (PD=20.1%) — acceptable risk under standard policy. | Loan-to-income ratio exceeds 30% — recommend reduced loan amount or additional income verification.
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.5083,N,3,0.0382,0.5083,<25k,26-35,Early(1-3y),Building(2-5y),0,1,0,0,0.8707003395608398,378,Very High,Reject,Very High risk tier (PD=87.1%) — default probability too high for approval under current risk appetite.
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.3182,N,3,0.0315,0.3182,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.2122587508996017,773,Low,Approve with Conditions,Low risk tier (PD=21.2%) — acceptable risk under standard policy. | Loan-to-income ratio exceeds 30% — recommend reduced loan amount or additional income verification.
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.0472,0.35,<25k,18-25,Unstable(<1y),Building(2-5y),1,0,0,0,0.5560316202690183,566,High,Manual Review,High risk tier (PD=55.6%) — requires underwriter judgement and possibly additional collateral/guarantor. | Note: applicant also has a prior bureau default on file.
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.3958,N,2,0.0283,0.3958,<25k,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.712881913772884,472,Very High,Reject,Very High risk tier (PD=71.3%) — default probability too high for approval under current risk appetite.
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.3373,Y,4,0.0539,0.3373,75-100k,18-25,Unstable(<1y),Building(2-5y),1,0,0,1,0.7534854194028142,448,Very High,Reject,Very High risk tier (PD=75.3%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.072,Y,3,0.0093,0.072,100k+,18-25,Early(1-3y),Building(2-5y),1,0,0,1,0.0807232688289997,852,Very Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.0355,0.28,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.3544503076290138,687,Low,Approve,Low risk tier (PD=35.4%) — acceptable risk under standard policy.
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.2545,N,2,0.0227,0.2545,100k+,26-35,Stable(7y+),New(<=2y),0,0,0,1,0.1200168898230966,828,Very Low,Approve,Very Low risk tier (PD=12.0%) — strong repayment profile.
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.225,N,4,0.0169,0.225,<25k,26-35,Unstable(<1y),Building(2-5y),0,0,0,0,0.1889209908419979,787,Very Low,Approve,Very Low risk tier (PD=18.9%) — strong repayment profile.
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.2593,N,4,0.0285,0.2593,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.1597911022801303,804,Very Low,Approve,Very Low risk tier (PD=16.0%) — strong repayment profile.
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.1852,N,2,0.0206,0.1852,100k+,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.1288438735961516,823,Very Low,Approve,Very Low risk tier (PD=12.9%) — strong repayment profile.
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2,0.03,0.4,50-75k,18-25,Early(1-3y),New(<=2y),0,0,0,1,0.7414679992471735,455,Very High,Reject,Very High risk tier (PD=74.1%) — default probability too high for approval under current risk appetite.
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.2708,Y,3,0.0425,0.2708,<25k,18-25,Established(3-7y),Building(2-5y),1,0,1,0,0.9838952798092696,310,Very High,Reject,Very High risk tier (PD=98.4%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.3929,Y,3,0.0513,0.3929,50-75k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.5712194078578195,557,High,Manual Review,High risk tier (PD=57.1%) — requires underwriter judgement and possibly additional collateral/guarantor. | Note: applicant also has a prior bureau default on file.
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1042,N,2,0.0114,0.1042,100k+,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.0044950314665393,897,Very Low,Approve,Very Low risk tier (PD=0.4%) — strong repayment profile.
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.3695,Y,2,0.0577,0.3695,50-75k,26-35,Established(3-7y),New(<=2y),1,0,0,1,0.8267165714083474,404,Very High,Reject,Very High risk tier (PD=82.7%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.3253,Y,2,0.0439,0.3253,75-100k,18-25,Established(3-7y),New(<=2y),1,0,0,1,0.4400921979144246,636,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.3679,N,3,0.0563,0.3679,50-75k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.8276205025969654,403,Very High,Reject,Very High risk tier (PD=82.8%) — default probability too high for approval under current risk appetite.
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.416,N,2,0.0487,0.416,50-75k,18-25,Established(3-7y),New(<=2y),0,1,0,1,0.7782315032221019,433,Very High,Reject,Very High risk tier (PD=77.8%) — default probability too high for approval under current risk appetite.
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.2133,N,3,0.0271,0.2133,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.1379238812404436,817,Very Low,Approve,Very Low risk tier (PD=13.8%) — strong repayment profile.
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.1294,N,3,0.0176,0.1294,<25k,18-25,Early(1-3y),Building(2-5y),0,0,0,0,0.1324614248229037,821,Very Low,Approve,Very Low risk tier (PD=13.2%) — strong repayment profile.
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.4246,N,3,0.0467,0.4246,50-75k,18-25,Unstable(<1y),Building(2-5y),0,1,0,1,0.6372352447836029,518,High,Manual Review,High risk tier (PD=63.7%) — requires underwriter judgement and possibly additional collateral/guarantor.
