loan_id,origination_date,origination_month,person_age,age_group,person_income,income_band,person_home_ownership,person_emp_length,employment_stability,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,loan_to_income_ratio,debt_to_income_ratio,cb_person_default_on_file,cb_person_cred_hist_length,credit_history_category,flag_prior_default,flag_high_loan_burden,flag_low_income_high_grade_risk,flag_renter,loan_status,loan_status_label,default_probability,credit_risk_score,risk_tier,loan_decision,decision_reasons,persona
L100024,2023-07-11,2023-07,24,18-25,67746,50-75k,RENT,8.0,Stable(7y+),HOMEIMPROVEMENT,C,33000,12.68,0.4871,0.4871,0.0618,N,3,Building(2-5y),0,1,0,1,1,Default,0.8775347411671142,373,Very High,Reject,Very High risk tier (PD=87.8%) — default probability too high for approval under current risk appetite.,The Overextended Borrower
L100025,2023-10-04,2023-10,21,18-25,11000,<25k,MORTGAGE,3.0,Early(1-3y),VENTURE,E,4575,17.74,0.4159,0.4159,0.0738,Y,3,Building(2-5y),1,1,1,0,1,Default,0.9906621684409248,306,Very High,Reject,Very High risk tier (PD=99.1%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100026,2023-06-10,2023-06,23,18-25,11000,<25k,OWN,0.0,Unstable(<1y),PERSONAL,A,1400,9.32,0.1273,0.1273,0.0119,N,3,Building(2-5y),0,0,0,0,0,Non-Default,0.0482598044101675,871,Very Low,Approve,Very Low risk tier (PD=4.8%) — strong repayment profile.,The Fresh Starter
L100027,2024-04-04,2024-04,24,18-25,65000,50-75k,RENT,6.0,Established(3-7y),HOMEIMPROVEMENT,B,32500,9.99,0.5,0.5,0.05,N,3,Building(2-5y),0,1,0,1,1,Default,0.8957109487462304,363,Very High,Reject,Very High risk tier (PD=89.6%) — default probability too high for approval under current risk appetite.,The Steady Earner
L100028,2023-11-10,2023-11,21,18-25,11389,<25k,OTHER,5.0,Established(3-7y),EDUCATION,C,4000,12.84,0.3512,0.3512,0.0451,Y,2,New(<=2y),1,0,0,0,1,Default,0.8831006719435103,370,Very High,Reject,Very High risk tier (PD=88.3%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100029,2023-01-22,2023-01,21,18-25,11520,<25k,OWN,5.0,Established(3-7y),MEDICAL,B,2000,11.12,0.1736,0.1736,0.0193,N,3,Building(2-5y),0,0,0,0,1,Default,0.141034601340418,815,Very Low,Approve,Very Low risk tier (PD=14.1%) — strong repayment profile.,The Moderate Borrower
L100030,2023-09-10,2023-09,25,18-25,120000,100k+,RENT,2.0,Early(1-3y),VENTURE,A,32000,6.62,0.2667,0.2667,0.0177,N,2,New(<=2y),0,0,0,1,0,Non-Default,0.0567663418822816,866,Very Low,Approve,Very Low risk tier (PD=5.7%) — strong repayment profile.,The Steady Earner
L100031,2024-07-14,2024-07,26,26-35,95000,75-100k,RENT,7.0,Established(3-7y),HOMEIMPROVEMENT,C,31050,14.17,0.3268,0.3268,0.0463,Y,3,Building(2-5y),1,0,0,1,1,Default,0.5218657380812521,587,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.,The Repeat Risk
L100032,2024-04-19,2024-04,25,18-25,306000,100k+,RENT,2.0,Early(1-3y),DEBTCONSOLIDATION,C,24250,13.85,0.0792,0.0792,0.011,N,3,Building(2-5y),0,0,0,1,0,Non-Default,0.1044092918768551,837,Very Low,Approve,Very Low risk tier (PD=10.4%) — strong repayment profile.,The Fresh Starter
L100033,2023-02-28,2023-02,26,26-35,300000,100k+,MORTGAGE,10.0,Stable(7y+),MEDICAL,C,7800,13.49,0.026,0.026,0.0035,N,4,Building(2-5y),0,0,0,0,0,Non-Default,0.1425715690070989,814,Very Low,Approve,Very Low risk tier (PD=14.3%) — strong repayment profile.,The Moderate Borrower
L100034,2024-05-25,2024-05,21,18-25,12000,<25k,OWN,5.0,Established(3-7y),EDUCATION,A,2500,7.51,0.2083,0.2083,0.0156,N,4,Building(2-5y),0,0,0,0,1,Default,0.0873645518794305,848,Very Low,Approve,Very Low risk tier (PD=8.7%) — strong repayment profile.,The Moderate Borrower
L100035,2024-11-12,2024-11,22,18-25,48000,25-50k,RENT,1.0,Unstable(<1y),EDUCATION,E,30000,18.39,0.625,0.625,0.1149,N,2,New(<=2y),0,1,0,1,1,Default,0.990295629471694,306,Very High,Reject,Very High risk tier (PD=99.0%) — default probability too high for approval under current risk appetite.,The Fresh Starter
L100036,2024-04-20,2024-04,24,18-25,64000,50-75k,RENT,8.0,Stable(7y+),DEBTCONSOLIDATION,D,30000,14.54,0.4688,0.4688,0.0682,Y,3,Building(2-5y),1,1,0,1,1,Default,0.972409119927794,317,Very High,Reject,Very High risk tier (PD=97.2%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100037,2024-11-30,2024-11,25,18-25,75000,50-75k,RENT,4.0,Established(3-7y),HOMEIMPROVEMENT,D,30000,16.89,0.4,0.4,0.0676,Y,4,Building(2-5y),1,0,0,1,1,Default,0.9481080970033992,331,Very High,Reject,Very High risk tier (PD=94.8%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100038,2023-07-09,2023-07,23,18-25,71500,50-75k,RENT,3.0,Early(1-3y),DEBTCONSOLIDATION,D,30000,15.31,0.4196,0.4196,0.0642,N,4,Building(2-5y),0,1,0,1,1,Default,0.9534597850479716,328,Very High,Reject,Very High risk tier (PD=95.3%) — default probability too high for approval under current risk appetite.,The Overextended Borrower
L100039,2024-11-17,2024-11,26,26-35,62050,50-75k,RENT,6.0,Established(3-7y),MEDICAL,E,30000,17.99,0.4835,0.4835,0.087,N,2,New(<=2y),0,1,0,1,1,Default,0.9768729022171416,314,Very High,Reject,Very High risk tier (PD=97.7%) — default probability too high for approval under current risk appetite.,The Overextended Borrower
L100040,2024-07-16,2024-07,24,18-25,12000,<25k,OWN,4.0,Established(3-7y),VENTURE,B,2500,12.69,0.2083,0.2083,0.0264,N,3,Building(2-5y),0,0,0,0,1,Default,0.108814060397633,835,Very Low,Approve,Very Low risk tier (PD=10.9%) — strong repayment profile.,The Moderate Borrower
L100041,2024-07-20,2024-07,26,26-35,300000,100k+,MORTGAGE,10.0,Stable(7y+),VENTURE,A,20000,7.88,0.0667,0.0667,0.0053,N,4,Building(2-5y),0,0,0,0,0,Non-Default,0.0085545464639783,895,Very Low,Approve,Very Low risk tier (PD=0.9%) — strong repayment profile.,The Steady Earner
L100042,2023-09-01,2023-09,23,18-25,300000,100k+,OWN,1.0,Unstable(<1y),EDUCATION,F,24250,19.41,0.0808,0.0808,0.0157,Y,2,New(<=2y),1,0,0,0,0,Non-Default,0.1349864625205929,819,Very Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.,The Repeat Risk
L100043,2024-05-19,2024-05,26,26-35,300000,100k+,OWN,9.0,Stable(7y+),HOMEIMPROVEMENT,B,10000,10.38,0.0333,0.0333,0.0035,N,4,Building(2-5y),0,0,0,0,0,Non-Default,0.0187609728380504,889,Very Low,Approve,Very Low risk tier (PD=1.9%) — strong repayment profile.,The Steady Earner
L100044,2023-05-11,2023-05,26,26-35,300000,100k+,MORTGAGE,0.0,Unstable(<1y),EDUCATION,D,25000,15.33,0.0833,0.0833,0.0128,N,3,Building(2-5y),0,0,0,0,0,Non-Default,0.1920191210309547,785,Very Low,Approve,Very Low risk tier (PD=19.2%) — strong repayment profile.,The Fresh Starter
L100045,2024-04-29,2024-04,25,18-25,300000,100k+,MORTGAGE,9.0,Stable(7y+),HOMEIMPROVEMENT,E,18000,16.45,0.06,0.06,0.0099,N,3,Building(2-5y),0,0,0,0,0,Non-Default,0.6409462679686261,515,High,Manual Review,High risk tier (PD=64.1%) — requires underwriter judgement and possibly additional collateral/guarantor.,The Moderate Borrower
L100046,2024-10-08,2024-10,26,26-35,80690,75-100k,RENT,8.0,Stable(7y+),PERSONAL,A,30000,7.49,0.3718,0.3718,0.0278,N,3,Building(2-5y),0,0,0,1,1,Default,0.4109069331616166,653,Moderate,Approve with Conditions,Moderate risk tier (PD=41.1%) — approve with adjusted terms (higher rate and/or lower approved amount).,The Steady Earner
L100047,2023-01-21,2023-01,22,18-25,66300,50-75k,RENT,4.0,Established(3-7y),MEDICAL,B,30000,12.69,0.4525,0.4525,0.0574,N,3,Building(2-5y),0,1,0,1,1,Default,0.7788380836843484,433,Very High,Reject,Very High risk tier (PD=77.9%) — default probability too high for approval under current risk appetite.,The Steady Earner
L100048,2023-06-16,2023-06,26,26-35,89028,75-100k,RENT,0.0,Unstable(<1y),DEBTCONSOLIDATION,A,30000,6.62,0.337,0.337,0.0223,N,3,Building(2-5y),0,0,0,1,1,Default,0.3854862153707705,669,Moderate,Approve with Conditions,Moderate risk tier (PD=38.5%) — approve with adjusted terms (higher rate and/or lower approved amount).,The Steady Earner
L100049,2023-10-01,2023-10,24,18-25,78000,75-100k,RENT,4.0,Established(3-7y),DEBTCONSOLIDATION,D,30000,15.31,0.3846,0.3846,0.0589,Y,4,Building(2-5y),1,0,0,1,1,Default,0.920706229019508,348,Very High,Reject,Very High risk tier (PD=92.1%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100050,2024-01-23,2024-01,23,18-25,78000,75-100k,RENT,7.0,Established(3-7y),DEBTCONSOLIDATION,F,30000,18.62,0.3846,0.3846,0.0716,Y,3,Building(2-5y),1,0,0,1,1,Default,0.9581249830403514,325,Very High,Reject,Very High risk tier (PD=95.8%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100051,2024-08-23,2024-08,23,18-25,92004,75-100k,RENT,6.0,Established(3-7y),PERSONAL,C,30000,15.23,0.3261,0.3261,0.0497,Y,3,Building(2-5y),1,0,0,1,1,Default,0.3808215449604137,672,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.,The Repeat Risk
L100052,2023-11-12,2023-11,23,18-25,97000,75-100k,RENT,7.0,Established(3-7y),VENTURE,B,30000,10.65,0.3093,0.3093,0.0329,N,2,New(<=2y),0,0,0,1,1,Default,0.1655383492728498,801,Very Low,Approve,Very Low risk tier (PD=16.6%) — strong repayment profile.,The Steady Earner
L100053,2023-01-14,2023-01,25,18-25,120000,100k+,RENT,9.0,Stable(7y+),EDUCATION,A,30000,7.9,0.25,0.25,0.0198,N,4,Building(2-5y),0,0,0,1,0,Non-Default,0.0866197779967557,848,Very Low,Approve,Very Low risk tier (PD=8.7%) — strong repayment profile.,The Steady Earner
L100054,2023-08-30,2023-08,26,26-35,280000,100k+,RENT,4.0,Established(3-7y),PERSONAL,C,10000,15.96,0.0357,0.0357,0.0057,Y,3,Building(2-5y),1,0,0,1,0,Non-Default,0.2388739300139662,757,Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.,The Repeat Risk
L100055,2023-12-12,2023-12,26,26-35,277104,100k+,RENT,0.0,Unstable(<1y),VENTURE,B,20000,11.48,0.0722,0.0722,0.0083,N,3,Building(2-5y),0,0,0,1,0,Non-Default,0.0329594137082234,880,Very Low,Approve,Very Low risk tier (PD=3.3%) — strong repayment profile.,The Steady Earner
L100056,2024-07-18,2024-07,23,18-25,277000,100k+,OWN,3.0,Early(1-3y),PERSONAL,A,35000,7.49,0.1264,0.1264,0.0095,N,4,Building(2-5y),0,0,0,0,0,Non-Default,0.0010973183054457,899,Very Low,Approve,Very Low risk tier (PD=0.1%) — strong repayment profile.,The Steady Earner
L100057,2023-12-06,2023-12,25,18-25,128000,100k+,RENT,9.0,Stable(7y+),PERSONAL,A,30000,7.29,0.2344,0.2344,0.0171,N,4,Building(2-5y),0,0,0,1,0,Non-Default,0.0827439515718799,850,Very Low,Approve,Very Low risk tier (PD=8.3%) — strong repayment profile.,The Steady Earner
L100058,2023-04-02,2023-04,24,18-25,12000,<25k,OWN,2.0,Early(1-3y),VENTURE,E,1750,16.82,0.1458,0.1458,0.0245,Y,3,Building(2-5y),1,0,1,0,0,Non-Default,0.5570371343245692,566,High,Manual Review,High risk tier (PD=55.7%) — requires underwriter judgement and possibly additional collateral/guarantor. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100059,2024-01-02,2024-01,21,18-25,131000,100k+,RENT,0.0,Unstable(<1y),VENTURE,A,30000,5.99,0.229,0.229,0.0137,N,4,Building(2-5y),0,0,0,1,0,Non-Default,0.039050261456128,877,Very Low,Approve,Very Low risk tier (PD=3.9%) — strong repayment profile.,The Steady Earner
L100060,2024-03-30,2024-03,22,18-25,275000,100k+,OWN,6.0,Established(3-7y),VENTURE,B,12000,11.58,0.0436,0.0436,0.0051,N,2,New(<=2y),0,0,0,0,0,Non-Default,0.0055970641916704,897,Very Low,Approve,Very Low risk tier (PD=0.6%) — strong repayment profile.,The Steady Earner
L100061,2024-03-03,2024-03,26,26-35,263000,100k+,MORTGAGE,0.0,Unstable(<1y),EDUCATION,B,10000,10.99,0.038,0.038,0.0042,N,4,Building(2-5y),0,0,0,0,1,Default,0.0454524998904386,873,Very Low,Approve,Very Low risk tier (PD=4.5%) — strong repayment profile.,The Steady Earner
L100062,2024-05-23,2024-05,25,18-25,221850,100k+,MORTGAGE,9.0,Stable(7y+),MEDICAL,D,25000,15.7,0.1127,0.1127,0.0177,N,2,New(<=2y),0,0,0,0,1,Default,0.3465727531515074,692,Low,Approve,Low risk tier (PD=34.7%) — acceptable risk under standard policy.,The Moderate Borrower
L100063,2023-02-04,2023-02,22,18-25,70000,50-75k,RENT,6.0,Established(3-7y),EDUCATION,D,29100,15.99,0.4157,0.4157,0.0665,N,3,Building(2-5y),0,1,0,1,1,Default,0.9164524796852738,350,Very High,Reject,Very High risk tier (PD=91.6%) — default probability too high for approval under current risk appetite.,The Overextended Borrower
L100064,2023-07-25,2023-07,22,18-25,12000,<25k,MORTGAGE,7.0,Established(3-7y),EDUCATION,D,1500,14.84,0.125,0.125,0.0186,Y,3,Building(2-5y),1,0,1,0,0,Non-Default,0.828764872093805,403,Very High,Reject,Very High risk tier (PD=82.9%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100065,2023-03-22,2023-03,26,26-35,260000,100k+,OWN,10.0,Stable(7y+),HOMEIMPROVEMENT,B,28000,10.99,0.1077,0.1077,0.0118,N,3,Building(2-5y),0,0,0,0,0,Non-Default,0.0070511815989601,896,Very Low,Approve,Very Low risk tier (PD=0.7%) — strong repayment profile.,The Steady Earner
L100066,2024-07-15,2024-07,25,18-25,259000,100k+,MORTGAGE,9.0,Stable(7y+),HOMEIMPROVEMENT,D,20000,14.42,0.0772,0.0772,0.0111,Y,2,New(<=2y),1,0,0,0,0,Non-Default,0.4559258981717913,626,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.,The Repeat Risk
L100067,2024-01-23,2024-01,24,18-25,255000,100k+,MORTGAGE,9.0,Stable(7y+),EDUCATION,A,9600,6.99,0.0376,0.0376,0.0026,N,2,New(<=2y),0,0,0,0,0,Non-Default,0.0212478882642325,887,Very Low,Approve,Very Low risk tier (PD=2.1%) — strong repayment profile.,The Steady Earner
L100068,2023-01-02,2023-01,25,18-25,250000,100k+,RENT,2.0,Early(1-3y),MEDICAL,C,25000,13.49,0.1,0.1,0.0135,N,4,Building(2-5y),0,0,0,1,0,Non-Default,0.0909429187322655,845,Very Low,Approve,Very Low risk tier (PD=9.1%) — strong repayment profile.,The Fresh Starter
L100069,2024-01-25,2024-01,25,18-25,12000,<25k,OWN,0.0,Unstable(<1y),MEDICAL,C,3000,13.48,0.25,0.25,0.0337,N,3,Building(2-5y),0,0,0,0,1,Default,0.3581875938958976,685,Low,Approve,Low risk tier (PD=35.8%) — acceptable risk under standard policy.,The Fresh Starter
L100070,2024-07-19,2024-07,22,18-25,56950,50-75k,RENT,6.0,Established(3-7y),MEDICAL,A,28000,7.49,0.4917,0.4917,0.0368,N,2,New(<=2y),0,1,0,1,1,Default,0.8878633846028937,367,Very High,Reject,Very High risk tier (PD=88.8%) — default probability too high for approval under current risk appetite.,The Steady Earner
L100071,2023-04-16,2023-04,21,18-25,12000,<25k,OWN,6.0,Established(3-7y),EDUCATION,C,3000,13.61,0.25,0.25,0.034,Y,3,Building(2-5y),1,0,0,0,1,Default,0.2565886845459517,746,Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.,The Repeat Risk
L100072,2024-04-21,2024-04,23,18-25,65000,50-75k,RENT,2.0,Early(1-3y),EDUCATION,A,28000,7.9,0.4308,0.4308,0.034,N,2,New(<=2y),0,1,0,1,1,Default,0.6594542859317047,504,High,Manual Review,High risk tier (PD=65.9%) — requires underwriter judgement and possibly additional collateral/guarantor.,The Steady Earner
L100073,2024-12-03,2024-12,26,26-35,85000,75-100k,RENT,2.0,Early(1-3y),VENTURE,A,28000,7.49,0.3294,0.3294,0.0247,N,3,Building(2-5y),0,0,0,1,1,Default,0.2012692856473155,779,Low,Approve with Conditions,Low risk tier (PD=20.1%) — acceptable risk under standard policy. | Loan-to-income ratio exceeds 30% — recommend reduced loan amount or additional income verification.,The Steady Earner
L100074,2024-02-06,2024-02,26,26-35,12000,<25k,OWN,2.0,Early(1-3y),EDUCATION,A,6100,7.51,0.5083,0.5083,0.0382,N,3,Building(2-5y),0,1,0,0,1,Default,0.8707003395608398,378,Very High,Reject,Very High risk tier (PD=87.1%) — default probability too high for approval under current risk appetite.,The Fresh Starter
L100075,2024-12-30,2024-12,22,18-25,88000,75-100k,RENT,6.0,Established(3-7y),VENTURE,B,28000,9.91,0.3182,0.3182,0.0315,N,3,Building(2-5y),0,0,0,1,1,Default,0.2122587508996017,773,Low,Approve with Conditions,Low risk tier (PD=21.2%) — acceptable risk under standard policy. | Loan-to-income ratio exceeds 30% — recommend reduced loan amount or additional income verification.,The Steady Earner
L100076,2024-07-09,2024-07,21,18-25,12000,<25k,OWN,0.0,Unstable(<1y),PERSONAL,C,4200,13.48,0.35,0.35,0.0472,Y,4,Building(2-5y),1,0,0,0,1,Default,0.5560316202690183,566,High,Manual Review,High risk tier (PD=55.6%) — requires underwriter judgement and possibly additional collateral/guarantor. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100077,2023-06-11,2023-06,22,18-25,12000,<25k,OWN,6.0,Established(3-7y),DEBTCONSOLIDATION,A,4750,7.14,0.3958,0.3958,0.0283,N,2,New(<=2y),0,0,0,0,1,Default,0.712881913772884,472,Very High,Reject,Very High risk tier (PD=71.3%) — default probability too high for approval under current risk appetite.,The Moderate Borrower
L100078,2023-07-21,2023-07,24,18-25,83004,75-100k,RENT,0.0,Unstable(<1y),VENTURE,D,28000,15.99,0.3373,0.3373,0.0539,Y,4,Building(2-5y),1,0,0,1,1,Default,0.7534854194028142,448,Very High,Reject,Very High risk tier (PD=75.3%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
